pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,2,2,10,2,,,,,48.977181299822405,49.97689229995012,49.97689229995012,49.97689229995012,49.97689229995012,49.97689229995012,50.97663309983909,50.97663309983909,c,1,0.39619689993560314,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,2,3,11,3,,,,,51.39319079997949,52.39254459994845,52.39254459994845,52.39254459994845,52.39254459994845,52.39254459994845,53.39223359990865,53.39223359990865,z,1,0.8108886000700295,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,3,0,12,0,,,,,54.2254514999222,55.22517689992674,55.22517689992674,55.22517689992674,55.22517689992674,55.22517689992674,56.225012299837545,56.225012299837545,x,1,0.753163100220263,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,3,1,13,1,,,,,57.00776609987952,58.00747389998287,58.00747389998287,58.00747389998287,58.00747389998287,58.00747389998287,59.00716309994459,59.00716309994459,v,1,0.7759803000371903,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,3,2,14,2,,,,,59.80684360000305,60.80654120002873,60.80654120002873,60.80654120002873,60.80654120002873,60.80654120002873,61.80628539994359,61.80628539994359,c,1,0.3207895001396537,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,3,3,15,3,,,,,62.15615239995532,63.155870700022206,63.155870700022206,63.155870700022206,63.155870700022206,63.155870700022206,64.155566399917,64.155566399917,z,1,0.5751117002218962,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,4,0,16,0,,,,,64.75525659997948,65.7548122999724,65.7548122999724,65.7548122999724,65.7548122999724,65.7548122999724,66.75448019988835,66.75448019988835,x,1,0.721018300158903,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,4,1,17,1,,,,,67.50433819997124,68.50395089993253,68.50395089993253,68.50395089993253,68.50395089993253,68.50395089993253,69.5035444998648,69.5035444998648,v,1,0.9184582002926618,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,4,2,18,2,,,,,70.4533844999969,71.45321749988943,71.45321749988943,71.45321749988943,71.45321749988943,71.45321749988943,72.45270779985003,72.45270779985003,c,1,0.8431313999462873,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,4,3,19,3,,,,,73.31918689981103,74.31858249986544,74.31858249986544,74.31858249986544,74.31858249986544,74.31858249986544,75.31849099998362,75.31849099998362,z,1,0.7720499001443386,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
